#R1	R2	periodo	per+
327	673	148	27.03
386	673	148	33
475	673	148	42
558	673	148	50
986	673	148	87
674	673	148	61
674	986	210	66
820	986	210	82
558	986	210	54
475	986	210	44
386	986	210	34
327	986	210	28
327	1459	304	28
386	1459	304	36
465	1459	304	44
558	1459	304	56
820	1459	304	88
986	1459	304	108
986	1174	246	102
820	1174	246	84
674	1174	246	66
558	1174	246	52
475	1174	246	44
386	1174	246	34
327	1174	246	26
327	820	178	28
386	820	178	34
475	820	178	44
558	820	178	52
673	820	178	64
986	820	178	94
