#freq	#in	#outpp	#rms
2.14e3	72.8	.584	.191
3.85e3	72.8	1.20	.408
4.14e3	72.8	1.52	.462
4.64e3	72.8	1.76	.606
5.16e3	72.8	2.30	1.10
5.38e3	72.8	2.68	.837
5.57e3	72.8	2.98	.928
5.96e3	72.8	3.44	1.050
#6.14e3	72.8	4.20	1.284
6.20e3	72.8	3.52	1.078
6.27e3	72.8	3.72	1.166
6.45e3	72.8	4.04	1.243
6.45e3	72.8	4.00	1.235
6.54e3	72.8	4.00	1.244
6.80e3	72.8	4.08	1.276
7.18e3	72.8	4.08	1.223
7.35e3	72.8	3.64	1.371
7.67e3	72.8	3.28	1.015
8.48e3	72.8	2.26	.770
7.98e3	72.8	2.74	.855
8.94e3	72.8	1.80	.583
10.69e3	72.8	1.09	.351
13.18e3	72.8	.688	.211
